,Additions,Deletions,Changes,AmountOfFiles,UserEmail,MessageLength,Timestamp,RepositoryName,RepositoryOwner,RepositoryBranch
0,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,ianjjohnson
0,749,0,749,5,jkpolitz,76,2016-02-25 02:15:33+00:00,programming-assignments,SMUCSE2341,lazysp333
1,6,0,6,1,Data Structures,71,2016-02-14 01:33:53+00:00,programming-assignments,SMUCSE2341,lazysp333
2,0,0,0,1,Data Structures,16,2016-02-14 01:31:13+00:00,programming-assignments,SMUCSE2341,lazysp333
3,334,128,462,5,Data Structures,50,2016-02-14 00:08:40+00:00,programming-assignments,SMUCSE2341,lazysp333
4,537,0,537,6,Data Structures,109,2016-02-09 20:52:26+00:00,programming-assignments,SMUCSE2341,lazysp333
5,561,0,561,6,jkpolitz,76,2016-02-09 20:22:05+00:00,programming-assignments,SMUCSE2341,lazysp333
6,0,15,15,5,Data Structures,103,2016-01-31 01:01:43+00:00,programming-assignments,SMUCSE2341,lazysp333
7,328,89,417,5,Data Structures,128,2016-01-31 00:59:45+00:00,programming-assignments,SMUCSE2341,lazysp333
8,0,15,15,5,Data Structures,22,2016-01-29 21:41:56+00:00,programming-assignments,SMUCSE2341,lazysp333
9,53,2,55,2,Data Structures,77,2016-01-27 23:28:13+00:00,programming-assignments,SMUCSE2341,lazysp333
10,0,73,73,1,Data Structures,103,2016-01-25 23:12:23+00:00,programming-assignments,SMUCSE2341,lazysp333
11,0,73,73,1,Rawhide,17,2016-01-25 23:11:50+00:00,programming-assignments,SMUCSE2341,lazysp333
12,73,0,73,1,Data Structures,103,2016-01-25 23:08:24+00:00,programming-assignments,SMUCSE2341,lazysp333
13,286,0,286,10,Data Structures,107,2016-01-25 23:05:59+00:00,programming-assignments,SMUCSE2341,lazysp333
14,0,20,20,1,Rawhide,16,2016-01-25 22:49:53+00:00,programming-assignments,SMUCSE2341,lazysp333
15,0,13,13,1,Rawhide,16,2016-01-25 22:49:42+00:00,programming-assignments,SMUCSE2341,lazysp333
16,0,23,23,1,Rawhide,16,2016-01-25 22:49:31+00:00,programming-assignments,SMUCSE2341,lazysp333
17,0,12,12,1,Rawhide,25,2016-01-25 21:02:00+00:00,programming-assignments,SMUCSE2341,lazysp333
18,0,11,11,1,Rawhide,25,2016-01-25 21:01:46+00:00,programming-assignments,SMUCSE2341,lazysp333
19,0,0,0,0,Data Structures,103,2016-01-25 20:58:28+00:00,programming-assignments,SMUCSE2341,lazysp333
20,0,0,0,1,Rawhide,20,2016-01-25 20:57:54+00:00,programming-assignments,SMUCSE2341,lazysp333
21,0,1,1,1,Rawhide,20,2016-01-25 20:57:41+00:00,programming-assignments,SMUCSE2341,lazysp333
22,0,44,44,1,Rawhide,20,2016-01-25 20:57:23+00:00,programming-assignments,SMUCSE2341,lazysp333
23,44,0,44,1,Data Structures,103,2016-01-25 20:22:27+00:00,programming-assignments,SMUCSE2341,lazysp333
24,1,0,1,2,Data Structures,11,2016-01-25 20:21:01+00:00,programming-assignments,SMUCSE2341,lazysp333
25,152,0,152,6,Data Structures,107,2016-01-24 22:58:06+00:00,programming-assignments,SMUCSE2341,lazysp333
26,44,0,44,1,jkpolitz,26,2015-09-08 21:06:24+00:00,programming-assignments,SMUCSE2341,lazysp333
27,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,lazysp333
0,196,0,196,1,jkpolitz,76,2016-03-01 23:02:05+00:00,programming-assignments,SMUCSE2341,fontiago
1,329,0,329,3,jkpolitz,76,2016-02-25 01:04:58+00:00,programming-assignments,SMUCSE2341,fontiago
2,1,1,2,1,Data Structures,21,2016-02-18 00:02:08+00:00,programming-assignments,SMUCSE2341,fontiago
3,196,0,196,1,Data Structures,80,2016-02-18 00:00:52+00:00,programming-assignments,SMUCSE2341,fontiago
4,329,0,329,3,Data Structures,26,2016-02-11 23:44:33+00:00,programming-assignments,SMUCSE2341,fontiago
5,182,0,182,1,jkpolitz,76,2016-02-09 18:26:35+00:00,programming-assignments,SMUCSE2341,fontiago
6,56,113,169,1,Data Structures,21,2016-01-29 21:54:23+00:00,programming-assignments,SMUCSE2341,fontiago
7,190,30,220,1,Data Structures,27,2016-01-29 21:11:39+00:00,programming-assignments,SMUCSE2341,fontiago
8,79,0,79,1,Data Structures,41,2016-01-25 20:41:21+00:00,programming-assignments,SMUCSE2341,fontiago
9,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,fontiago
0,482,12,494,7,jkpolitz,76,2016-03-01 23:08:32+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
1,362,0,362,8,jkpolitz,76,2016-02-25 01:58:00+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
2,0,0,0,1,Campbell Konrad,26,2016-02-21 23:31:53+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
3,0,0,0,1,Campbell Konrad,26,2016-02-21 23:31:37+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
4,0,0,0,2,Campbell Konrad,22,2016-02-21 23:31:19+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
5,0,0,0,1,Campbell Konrad,26,2016-02-21 23:30:49+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
6,0,0,0,1,Campbell Konrad,26,2016-02-21 23:30:42+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
7,0,0,0,2,Campbell Konrad,22,2016-02-21 23:30:13+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
8,0,73,73,1,Campbell Konrad,17,2016-02-21 23:10:34+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
9,0,16,16,1,Campbell Konrad,19,2016-02-21 23:10:12+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
10,0,0,0,1,Campbell Konrad,12,2016-02-21 23:10:06+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
11,0,12,12,1,Campbell Konrad,14,2016-02-21 23:10:00+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
12,0,4,4,1,Campbell Konrad,15,2016-02-21 23:09:54+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
13,0,12,12,1,Campbell Konrad,15,2016-02-21 23:09:48+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
14,0,12,12,1,Campbell Konrad,15,2016-02-21 23:09:42+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
15,0,0,0,1,Campbell Konrad,17,2016-02-21 23:09:29+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
16,247,266,513,3,Data Structures,12,2016-02-21 23:08:42+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
17,106,1,107,1,Data Structures,8,2016-02-21 23:01:41+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
18,35,4,39,2,Data Structures,19,2016-02-21 22:47:15+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
19,20,28,48,4,Data Structures,62,2016-02-21 22:27:34+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
20,33,27,60,4,Data Structures,64,2016-02-21 22:00:37+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
21,9,1,10,3,Data Structures,65,2016-02-21 21:44:39+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
22,1,1,2,2,Data Structures,17,2016-02-21 21:39:15+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
23,15,2,17,2,Data Structures,39,2016-02-21 21:35:04+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
24,13,10,23,4,Data Structures,20,2016-02-21 21:09:28+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
25,32,2,34,6,Data Structures,124,2016-02-21 03:03:07+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
26,3,3,6,2,Data Structures,20,2016-02-21 02:27:49+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
27,430,0,430,10,Data Structures,35,2016-02-18 02:54:36+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
28,0,16,16,1,Campbell Konrad,25,2016-02-15 07:36:21+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
29,0,0,0,1,Campbell Konrad,12,2016-02-15 07:36:11+00:00,programming-assignments,SMUCSE2341,CampbellTomatoSoup
0,342,0,342,4,jkpolitz,76,2016-03-01 23:11:39+00:00,programming-assignments,SMUCSE2341,candiceglee
1,270,0,270,3,jkpolitz,76,2016-02-25 02:04:08+00:00,programming-assignments,SMUCSE2341,candiceglee
2,266,0,266,1,candiceglee,21,2016-02-21 21:30:56+00:00,programming-assignments,SMUCSE2341,candiceglee
3,24,0,24,1,candiceglee,15,2016-02-21 21:30:07+00:00,programming-assignments,SMUCSE2341,candiceglee
4,1,1,2,1,candiceglee,21,2016-02-21 21:28:56+00:00,programming-assignments,SMUCSE2341,candiceglee
5,34,0,34,1,candiceglee,19,2016-02-21 21:28:46+00:00,programming-assignments,SMUCSE2341,candiceglee
6,18,0,18,1,candiceglee,21,2016-02-21 21:27:42+00:00,programming-assignments,SMUCSE2341,candiceglee
7,67,58,125,1,candiceglee,22,2016-02-17 06:41:24+00:00,programming-assignments,SMUCSE2341,candiceglee
8,11,11,22,1,candiceglee,20,2016-02-17 06:13:30+00:00,programming-assignments,SMUCSE2341,candiceglee
9,35,16,51,1,candiceglee,22,2016-02-15 05:33:56+00:00,programming-assignments,SMUCSE2341,candiceglee
10,195,0,195,1,candiceglee,22,2016-02-15 00:47:04+00:00,programming-assignments,SMUCSE2341,candiceglee
11,34,0,34,1,candiceglee,20,2016-02-15 00:45:30+00:00,programming-assignments,SMUCSE2341,candiceglee
12,13,0,13,1,candiceglee,15,2016-02-15 00:45:03+00:00,programming-assignments,SMUCSE2341,candiceglee
13,338,0,338,5,jkpolitz,76,2016-02-09 18:56:21+00:00,programming-assignments,SMUCSE2341,candiceglee
14,13,0,13,1,candiceglee,16,2016-02-01 06:29:13+00:00,programming-assignments,SMUCSE2341,candiceglee
15,77,33,110,1,candiceglee,21,2016-02-01 06:16:12+00:00,programming-assignments,SMUCSE2341,candiceglee
16,86,23,109,1,candiceglee,21,2016-02-01 05:48:38+00:00,programming-assignments,SMUCSE2341,candiceglee
17,45,19,64,1,candiceglee,21,2016-02-01 04:14:15+00:00,programming-assignments,SMUCSE2341,candiceglee
18,1,0,1,1,candiceglee,21,2016-02-01 03:39:16+00:00,programming-assignments,SMUCSE2341,candiceglee
19,26,0,26,1,candiceglee,21,2016-02-01 03:38:01+00:00,programming-assignments,SMUCSE2341,candiceglee
20,31,0,31,1,candiceglee,19,2016-02-01 03:23:19+00:00,programming-assignments,SMUCSE2341,candiceglee
21,0,0,0,1,candiceglee,37,2016-02-01 03:22:31+00:00,programming-assignments,SMUCSE2341,candiceglee
22,98,0,98,1,candiceglee,19,2016-02-01 03:22:04+00:00,programming-assignments,SMUCSE2341,candiceglee
23,15,0,15,1,candiceglee,21,2016-02-01 03:21:25+00:00,programming-assignments,SMUCSE2341,candiceglee
24,21,0,21,1,candiceglee,15,2016-02-01 03:20:52+00:00,programming-assignments,SMUCSE2341,candiceglee
25,0,44,44,1,candiceglee,23,2016-02-01 03:20:19+00:00,programming-assignments,SMUCSE2341,candiceglee
26,44,0,44,1,jkpolitz,26,2015-09-08 21:06:24+00:00,programming-assignments,SMUCSE2341,candiceglee
27,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,candiceglee
0,1098,0,1098,11,Tyler Springer,74,2016-02-29 05:17:57+00:00,programming-assignments,SMUCSE2341,Revan1701G
1,593,0,593,11,Tyler Springer,56,2016-02-25 02:46:39+00:00,programming-assignments,SMUCSE2341,Revan1701G
2,288,422,710,7,Data Structures,12,2016-02-22 09:13:13+00:00,programming-assignments,SMUCSE2341,Revan1701G
3,15,5,20,5,Data Structures,17,2016-02-22 04:13:46+00:00,programming-assignments,SMUCSE2341,Revan1701G
4,59,13,72,5,Data Structures,36,2016-02-22 03:40:49+00:00,programming-assignments,SMUCSE2341,Revan1701G
5,56,20,76,2,Data Structures,27,2016-02-21 05:34:58+00:00,programming-assignments,SMUCSE2341,Revan1701G
6,1140,0,1140,11,Data Structures,8,2016-02-21 05:32:11+00:00,programming-assignments,SMUCSE2341,Revan1701G
7,1,3,4,2,Greg Guggenmos,12,2016-02-15 13:48:44+00:00,programming-assignments,SMUCSE2341,Revan1701G
8,42,44,86,7,Greg Guggenmos,26,2016-02-15 13:13:46+00:00,programming-assignments,SMUCSE2341,Revan1701G
9,121,99,220,10,Greg Guggenmos,32,2016-02-15 12:51:48+00:00,programming-assignments,SMUCSE2341,Revan1701G
10,200,47,247,8,Greg Guggenmos,27,2016-02-15 11:13:59+00:00,programming-assignments,SMUCSE2341,Revan1701G
11,42,5,47,5,Greg Guggenmos,20,2016-02-15 06:05:37+00:00,programming-assignments,SMUCSE2341,Revan1701G
12,19,4,23,6,Greg Guggenmos,8,2016-02-15 00:04:15+00:00,programming-assignments,SMUCSE2341,Revan1701G
13,59,18,77,5,Greg Guggenmos,31,2016-02-14 16:09:42+00:00,programming-assignments,SMUCSE2341,Revan1701G
14,159,22,181,8,Greg Guggenmos,18,2016-02-14 10:47:23+00:00,programming-assignments,SMUCSE2341,Revan1701G
15,110,7,117,6,Greg Guggenmos,21,2016-02-13 03:17:35+00:00,programming-assignments,SMUCSE2341,Revan1701G
16,14,10,24,5,Gregory  Guggenmos,22,2016-02-10 14:51:40+00:00,programming-assignments,SMUCSE2341,Revan1701G
17,85,0,85,6,Gregory  Guggenmos,29,2016-02-10 14:25:23+00:00,programming-assignments,SMUCSE2341,Revan1701G
18,1140,1,1141,13,Tyler Springer,56,2016-02-10 08:40:31+00:00,programming-assignments,SMUCSE2341,Revan1701G
19,1,1,2,3,Gregory  Guggenmos,29,2016-02-01 09:37:03+00:00,programming-assignments,SMUCSE2341,Revan1701G
20,131,290,421,11,Gregory  Guggenmos,16,2016-02-01 09:29:45+00:00,programming-assignments,SMUCSE2341,Revan1701G
21,512,25,537,5,Gregory  Guggenmos,29,2016-01-31 21:27:03+00:00,programming-assignments,SMUCSE2341,Revan1701G
22,533,39,572,9,Gregory  Guggenmos,26,2016-01-31 18:39:36+00:00,programming-assignments,SMUCSE2341,Revan1701G
23,14,1,15,2,Gregory  Guggenmos,32,2016-01-29 19:49:42+00:00,programming-assignments,SMUCSE2341,Revan1701G
24,171,4,175,7,Gregory  Guggenmos,13,2016-01-29 19:30:20+00:00,programming-assignments,SMUCSE2341,Revan1701G
25,46,90,136,8,Gregory  Guggenmos,30,2016-01-28 19:17:20+00:00,programming-assignments,SMUCSE2341,Revan1701G
26,181,0,181,9,Gregory  Guggenmos,25,2016-01-27 15:13:51+00:00,programming-assignments,SMUCSE2341,Revan1701G
27,0,44,44,1,Gregory  Guggenmos,16,2016-01-25 02:07:09+00:00,programming-assignments,SMUCSE2341,Revan1701G
28,1,1,2,1,Gregory  Guggenmos,21,2016-01-25 01:59:03+00:00,programming-assignments,SMUCSE2341,Revan1701G
29,44,0,44,1,Gregory  Guggenmos,91,2016-01-25 01:57:30+00:00,programming-assignments,SMUCSE2341,Revan1701G
0,363,0,363,4,jkpolitz,76,2016-02-24 22:08:14+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
1,1,0,1,1,B0bTh3BuiIder,15,2016-02-15 05:22:54+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
2,39,20,59,1,B0bTh3BuiIder,15,2016-02-15 02:35:56+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
3,11,1,12,1,B0bTh3BuiIder,15,2016-02-14 22:17:53+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
4,0,56,56,1,B0bTh3BuiIder,15,2016-02-14 21:43:20+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
5,0,42,42,1,B0bTh3BuiIder,23,2016-02-14 21:43:14+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
6,0,9,9,1,B0bTh3BuiIder,14,2016-02-14 21:43:09+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
7,233,143,376,4,Bob,53,2016-02-14 21:38:23+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
8,212,25,237,3,Bob,4,2016-02-14 00:01:13+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
9,502,0,502,3,jkpolitz,76,2016-02-09 17:43:12+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
10,163,0,163,3,Bob,83,2016-02-04 16:12:29+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
11,502,0,502,3,Bob,77,2016-02-01 00:59:17+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
12,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,B0bTh3BuiIder
0,566,0,566,7,jkpolitz,76,2016-03-01 22:57:35+00:00,programming-assignments,SMUCSE2341,dishagarg81
1,378,0,378,3,jkpolitz,76,2016-02-24 22:55:49+00:00,programming-assignments,SMUCSE2341,dishagarg81
2,205,0,205,5,jkpolitz,76,2016-02-22 20:37:13+00:00,programming-assignments,SMUCSE2341,dishagarg81
3,23,18,41,1,dishagarg81,15,2016-02-22 16:53:14+00:00,programming-assignments,SMUCSE2341,dishagarg81
4,15,10,25,1,dishagarg81,19,2016-02-22 16:52:00+00:00,programming-assignments,SMUCSE2341,dishagarg81
5,33,0,33,1,dishagarg81,15,2016-02-22 13:51:10+00:00,programming-assignments,SMUCSE2341,dishagarg81
6,459,0,459,1,dishagarg81,19,2016-02-22 13:50:32+00:00,programming-assignments,SMUCSE2341,dishagarg81
7,12,0,12,1,dishagarg81,16,2016-02-22 13:39:03+00:00,programming-assignments,SMUCSE2341,dishagarg81
8,14,0,14,1,dishagarg81,16,2016-02-22 13:38:40+00:00,programming-assignments,SMUCSE2341,dishagarg81
9,6,0,6,1,dishagarg81,15,2016-02-22 13:18:34+00:00,programming-assignments,SMUCSE2341,dishagarg81
10,10,0,10,1,dishagarg81,14,2016-02-22 13:16:42+00:00,programming-assignments,SMUCSE2341,dishagarg81
11,12,0,12,1,dishagarg81,15,2016-02-22 13:15:52+00:00,programming-assignments,SMUCSE2341,dishagarg81
12,10,0,10,1,dishagarg81,14,2016-02-22 13:14:46+00:00,programming-assignments,SMUCSE2341,dishagarg81
13,0,13,13,1,dishagarg81,16,2016-02-17 06:52:41+00:00,programming-assignments,SMUCSE2341,dishagarg81
14,131,0,131,1,dishagarg81,15,2016-02-17 06:51:50+00:00,programming-assignments,SMUCSE2341,dishagarg81
15,234,275,509,2,dishagarg81,40,2016-02-17 06:50:35+00:00,programming-assignments,SMUCSE2341,dishagarg81
16,13,0,13,1,dishagarg81,16,2016-02-15 08:36:48+00:00,programming-assignments,SMUCSE2341,dishagarg81
17,272,0,272,1,dishagarg81,16,2016-02-15 08:36:04+00:00,programming-assignments,SMUCSE2341,dishagarg81
18,13,0,13,1,dishagarg81,16,2016-02-15 08:33:56+00:00,programming-assignments,SMUCSE2341,dishagarg81
19,13,0,13,1,dishagarg81,16,2016-02-15 08:33:04+00:00,programming-assignments,SMUCSE2341,dishagarg81
20,275,0,275,1,dishagarg81,16,2016-02-15 08:32:16+00:00,programming-assignments,SMUCSE2341,dishagarg81
21,1,1,2,1,dishagarg81,21,2016-02-01 11:29:50+00:00,programming-assignments,SMUCSE2341,dishagarg81
22,1,1,2,1,dishagarg81,283,2016-02-01 11:28:29+00:00,programming-assignments,SMUCSE2341,dishagarg81
23,4,0,4,1,dishagarg81,16,2016-02-01 11:24:42+00:00,programming-assignments,SMUCSE2341,dishagarg81
24,12,0,12,1,dishagarg81,15,2016-02-01 11:23:41+00:00,programming-assignments,SMUCSE2341,dishagarg81
25,64,32,96,1,dishagarg81,21,2016-02-01 11:21:02+00:00,programming-assignments,SMUCSE2341,dishagarg81
26,95,29,124,1,dishagarg81,21,2016-02-01 10:01:44+00:00,programming-assignments,SMUCSE2341,dishagarg81
27,29,0,29,1,dishagarg81,19,2016-02-01 10:00:33+00:00,programming-assignments,SMUCSE2341,dishagarg81
28,5,13,18,1,dishagarg81,15,2016-02-01 10:00:02+00:00,programming-assignments,SMUCSE2341,dishagarg81
29,0,13,13,1,dishagarg81,21,2016-02-01 09:59:29+00:00,programming-assignments,SMUCSE2341,dishagarg81
0,487,0,487,6,jkpolitz,76,2016-03-01 23:16:31+00:00,programming-assignments,SMUCSE2341,dnmunoz
1,1078,0,1078,17,jkpolitz,76,2016-02-25 02:25:53+00:00,programming-assignments,SMUCSE2341,dnmunoz
2,0,0,0,0,dnmunoz,102,2016-02-22 04:35:47+00:00,programming-assignments,SMUCSE2341,dnmunoz
3,487,0,487,6,dnmunoz,19,2016-02-22 04:32:44+00:00,programming-assignments,SMUCSE2341,dnmunoz
4,238,99,337,10,dnmunoz,17,2016-02-15 13:16:45+00:00,programming-assignments,SMUCSE2341,dnmunoz
5,939,0,939,22,dnmunoz,19,2016-02-15 13:07:09+00:00,programming-assignments,SMUCSE2341,dnmunoz
6,479,0,479,4,jkpolitz,76,2016-02-09 20:15:17+00:00,programming-assignments,SMUCSE2341,dnmunoz
7,479,0,479,4,dnmunoz,26,2016-02-01 05:42:36+00:00,programming-assignments,SMUCSE2341,dnmunoz
8,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,dnmunoz
0,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,tatedewey
0,858,0,858,10,jkpolitz,76,2016-02-24 22:36:01+00:00,programming-assignments,SMUCSE2341,YichenDuan
1,94,2,96,4,YichenDuan,61,2016-02-15 08:22:31+00:00,programming-assignments,SMUCSE2341,YichenDuan
2,30,12,42,4,YichenDuan,17,2016-02-14 10:28:32+00:00,programming-assignments,SMUCSE2341,YichenDuan
3,3,18,21,6,YichenDuan,14,2016-02-14 07:00:33+00:00,programming-assignments,SMUCSE2341,YichenDuan
4,19,1,20,3,YichenDuan,21,2016-02-14 04:18:58+00:00,programming-assignments,SMUCSE2341,YichenDuan
5,201,310,511,4,YichenDuan,14,2016-02-14 03:56:33+00:00,programming-assignments,SMUCSE2341,YichenDuan
6,40,37,77,5,YichenDuan,31,2016-02-14 03:31:49+00:00,programming-assignments,SMUCSE2341,YichenDuan
7,75,62,137,7,YichenDuan,29,2016-02-14 00:31:56+00:00,programming-assignments,SMUCSE2341,YichenDuan
8,81,64,145,7,YichenDuan,27,2016-02-13 07:17:05+00:00,programming-assignments,SMUCSE2341,YichenDuan
9,100,14,114,6,YichenDuan,6,2016-02-13 00:16:47+00:00,programming-assignments,SMUCSE2341,YichenDuan
10,189,6,195,4,YichenDuan,14,2016-02-12 23:26:12+00:00,programming-assignments,SMUCSE2341,YichenDuan
11,28,6,34,4,YichenDuan,25,2016-02-12 21:46:26+00:00,programming-assignments,SMUCSE2341,YichenDuan
12,9,7,16,2,YichenDuan,32,2016-02-12 09:44:57+00:00,programming-assignments,SMUCSE2341,YichenDuan
13,91,11,102,4,YichenDuan,18,2016-02-12 04:30:49+00:00,programming-assignments,SMUCSE2341,YichenDuan
14,100,24,124,6,YichenDuan,11,2016-02-12 02:22:07+00:00,programming-assignments,SMUCSE2341,YichenDuan
15,39,37,76,3,YichenDuan,10,2016-02-09 18:04:06+00:00,programming-assignments,SMUCSE2341,YichenDuan
16,384,10,394,6,jkpolitz,76,2016-02-09 18:03:15+00:00,programming-assignments,SMUCSE2341,YichenDuan
17,9,1,10,3,YichenDuan,55,2016-02-09 03:58:37+00:00,programming-assignments,SMUCSE2341,YichenDuan
18,1,1,2,2,YichenDuan,54,2016-02-09 03:36:51+00:00,programming-assignments,SMUCSE2341,YichenDuan
19,6,7,13,2,YichenDuan,45,2016-02-09 03:28:03+00:00,programming-assignments,SMUCSE2341,YichenDuan
20,10,11,21,2,YichenDuan,11,2016-02-09 02:55:51+00:00,programming-assignments,SMUCSE2341,YichenDuan
21,26,14,40,3,YichenDuan,37,2016-02-09 00:00:13+00:00,programming-assignments,SMUCSE2341,YichenDuan
22,10,14,24,2,YichenDuan,57,2016-02-08 22:43:41+00:00,programming-assignments,SMUCSE2341,YichenDuan
23,9,4,13,2,YichenDuan,65,2016-02-08 22:17:03+00:00,programming-assignments,SMUCSE2341,YichenDuan
24,3,9,12,2,YichenDuan,34,2016-02-08 06:30:08+00:00,programming-assignments,SMUCSE2341,YichenDuan
25,26,22,48,2,YichenDuan,24,2016-02-08 06:01:42+00:00,programming-assignments,SMUCSE2341,YichenDuan
26,29,23,52,2,YichenDuan,29,2016-02-08 05:19:06+00:00,programming-assignments,SMUCSE2341,YichenDuan
27,347,0,347,8,YichenDuan,10,2016-02-07 00:04:54+00:00,programming-assignments,SMUCSE2341,YichenDuan
28,36,36,72,5,YichenDuan,4,2016-01-30 00:25:23+00:00,programming-assignments,SMUCSE2341,YichenDuan
29,42,18,60,4,YichenDuan,4,2016-01-29 22:38:18+00:00,programming-assignments,SMUCSE2341,YichenDuan
0,1308,0,1308,11,Data Structures,35,2016-04-04 10:58:55+00:00,programming-assignments,SMUCSE2341,lingham416
1,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,lingham416
0,561,0,561,3,jkpolitz,76,2016-03-01 23:14:52+00:00,programming-assignments,SMUCSE2341,gitMak
1,611,0,611,3,jkpolitz,76,2016-02-25 00:55:54+00:00,programming-assignments,SMUCSE2341,gitMak
2,561,0,561,3,gitMak,5,2016-02-19 22:29:07+00:00,programming-assignments,SMUCSE2341,gitMak
3,190,120,310,3,gitMak,60,2016-02-16 07:01:20+00:00,programming-assignments,SMUCSE2341,gitMak
4,27,30,57,1,gitMak,38,2016-02-15 12:07:50+00:00,programming-assignments,SMUCSE2341,gitMak
5,544,0,544,3,gitMak,63,2016-02-15 11:31:36+00:00,programming-assignments,SMUCSE2341,gitMak
6,549,0,549,3,jkpolitz,76,2016-02-09 20:09:22+00:00,programming-assignments,SMUCSE2341,gitMak
7,199,116,315,3,gitMak,14,2016-01-31 21:23:15+00:00,programming-assignments,SMUCSE2341,gitMak
8,466,0,466,3,gitMak,131,2016-01-29 23:05:52+00:00,programming-assignments,SMUCSE2341,gitMak
9,0,0,0,8,jkpolitz,24,2015-09-08 20:48:45+00:00,programming-assignments,SMUCSE2341,gitMak
0,1179,0,1179,23,Canon Ellis,56,2016-04-14 16:41:36+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
1,13,69,82,4,Luke Wood,24,2016-04-04 19:59:15+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
2,0,0,0,1,Luke Wood,38,2016-04-04 19:54:27+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
3,6,6,12,3,Luke Wood,32,2016-04-04 19:19:37+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
4,17,23,40,5,Luke Wood,7,2016-04-04 04:06:28+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
5,99,0,99,5,Luke Wood,106,2016-04-04 02:57:59+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
6,57,0,57,1,Luke Wood,39,2016-04-04 02:57:43+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
7,1,1,2,2,Luke Wood,7,2016-04-04 02:51:05+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
8,99,0,99,5,Luke Wood,7,2016-04-04 02:33:59+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
9,37,32,69,14,Luke Wood,7,2016-04-04 02:00:22+00:00,programming-assignments,SMUCSE2341,LukeWoodSMU
